url,title of page,MPU adid,Instream adid,Banner adid,Overlay adid
https://www.capitalxtra.com/members/register/,Register - Members - Capital XTRA,,,"<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/style/,Style | Fashion | Capital Xtra,"<div id=""xtra_style_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_style_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_style_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/tours-events/,Tickets - Capital XTRA,"<div id=""xtra_tickets_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_tickets_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_tickets_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/drake/lists/new-album-2019-release-date-songs-tracklist/,"Drake’s New Album 2019: Release Date, Songs, Tracklist & More - Capital XTRA","<div id=""xtra_artists_mpu_medium-down"" class=""dac__mpu""></div>","<div id=""xtra_artists_instream"" class=""dac__instream""></div>","<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/win/,Win - Capital XTRA,"<div id=""xtra_win_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_win_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_win_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/playlists/,"Music Playlists | Hip Hop, Grime & RnB | Capital Xtra","<div id=""xtra_default_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/new-music/,Latest New Music | Songs & Videos | Capital Xtra,"<div id=""xtra_new_music_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_new_music_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_new_music_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/artists/,Latest Music Artists | Songs & Videos | Capital Xtra,,,"<div id=""xtra_artists_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_artists_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/features/,Features - Capital XTRA,"<div id=""xtra_features_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_features_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_features_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/,"Capital XTRA | Playlist, Schedule, Shows, Presenters","<div id=""xtra_radio_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/javascript-required/,JavaScript Required - Capital XTRA,,,"<div id=""xtra_default_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_default_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/,Capital XTRA | The UK’s Biggest Hip Hop Station,"<div id=""xtra_home_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_home_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_home_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/news/,Latest News | Capital Xtra,"<div id=""xtra_news_mpu1"" class=""dac__mpu""></div>",,"<div id=""xtra_news_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_news_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/schedule/,Schedule - Radio - Capital XTRA,"<div id=""xtra_radio_mpu_large-up"" class=""dac__mpu""></div>",,"<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/advertise/,Advertise On Capital XTRA - Capital XTRA,"<div id=""xtra_home_mpu_large-up"" class=""dac__mpu""></div>","<div id=""xtra_home_instream"" class=""dac__instream""></div>","<div id=""xtra_home_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_home_overlay"" class=""dac__overlay""></div>"
https://www.capitalxtra.com/radio/playlist/,Capital XTRA Playlist - Radio - Capital XTRA,,,"<div id=""xtra_radio_banner_large-up"" class=""dac__banner""></div>","<div id=""xtra_radio_overlay"" class=""dac__overlay""></div>"
